maxsimulationtime=1000	models=Manhattan	locationinitializer=Null	maps=Manhattan	vlines=50,250,450,	dir12lanespace=5	width=500	hlines=50,250,450,	height=500	rangealgorithms=NullPowerAlgorithm	maxacceleration=2	maxspeed=10	fixedacceleration=false	minspeed=5	maxpausetime=10	positiveaccratio=2.0	safedistanceratio=2.0	nodenumber=10	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
42	6	450	26	4008	-1057	0
42	7	140	450	6033	0	0
42	8	215	50	6041	0	0
42	9	410	250	7069	0	0
43	0	250	250	8088	0	0
43	1	455	255	9083	3014	0
43	2	250	237	5062	-1057	0
43	3	50	342	705	-1057	0
43	4	255	327	1044	1057	0
43	5	450	385	5053	-1057	0
43	6	450	21	4081	-1057	0
43	7	147	450	6099	0	0
43	8	221	50	6001	0	0
43	9	418	250	8048	0	0
44	0	250	250	0	0	0
44	1	450	246	8026	-1057	0
44	2	250	230	6056	-1057	0
44	3	50	334	8027	-1057	0
44	4	255	328	0022	1057	0
44	5	450	380	4034	-1057	0
44	6	450	17	402	-1057	0
44	7	154	450	7024	0	0
44	8	229	50	7089	0	0
44	9	427	250	8056	0	0
45	0	250	250	0	0	0
45	1	450	238	8065	-1057	0
45	2	250	222	8043	-1057	0
45	3	50	324	9067	-1057	0
45	4	255	329	1069	1057	0
45	5	450	374	6009	-1057	0
45	6	450	11	5069	-1057	0
45	7	160	450	504	0	0
45	8	236	50	7034	0	0
45	9	436	250	9003	0	0
46	0	250	250	0	0	0
46	1	450	228	9036	-1057	0
46	2	250	213	9006	-1057	0
46	3	50	316	7093	-1057	0
46	4	255	332	2055	1057	0
46	5	450	366	8009	-1057	0
46	6	450	5	5098	-1057	0
46	7	163	450	3043	0	0
46	8	245	50	806	0	0
46	9	446	250	10	0	0
47	0	250	250	0	0	0
47	1	450	218	10	-1057	0
47	2	250	203	10	-1057	0
