Iter,refId,refPX,refPY,cmpId,cmpPX,cmpPY
116,9,276,238,2,301,262
116,9,276,238,6,272,244
117,0,145,317,5,140,282
117,1,405,233,8,406,189
117,2,303,254,6,277,240
117,2,303,254,9,282,241
117,5,140,282,0,145,317
117,6,277,240,2,303,254
117,6,277,240,9,282,241
117,8,406,189,1,405,233
117,9,282,241,2,303,254
117,9,282,241,6,277,240
118,0,146,308,5,143,291
118,1,396,228,8,407,198
118,2,304,247,6,282,236
118,2,304,247,9,287,243
118,5,143,291,0,146,308
118,6,282,236,2,304,247
118,6,282,236,9,287,243
118,8,407,198,1,396,228
118,9,287,243,2,304,247
118,9,287,243,6,282,236
119,0,147,298,5,146,301
119,1,388,223,8,407,207
119,2,306,239,6,287,232
119,2,306,239,9,293,246
119,5,146,301,0,147,298
119,6,287,232,2,306,239
119,6,287,232,9,293,246
119,8,407,207,1,388,223
119,9,293,246,2,306,239
119,9,293,246,6,287,232
120,0,148,289,5,149,310
120,1,379,218,8,407,217
120,2,308,232,6,292,228
120,2,308,232,9,298,248
120,5,149,310,0,148,289
120,6,292,228,2,308,232
120,6,292,228,9,298,248
120,8,407,217,1,379,218
120,9,298,248,2,308,232
120,9,298,248,6,292,228
121,0,149,279,5,152,319
121,1,371,213,8,407,226
121,2,310,224,6,297,224
121,2,310,224,9,304,251
121,5,152,319,0,149,279
121,6,297,224,2,310,224
121,6,297,224,9,304,251
121,8,407,226,1,371,213
121,9,304,251,2,310,224
121,9,304,251,6,297,224
122,1,362,208,8,408,235
122,2,312,217,6,302,220
122,2,312,217,9,310,253
122,6,302,220,2,312,217
122,6,302,220,9,310,253
122,8,408,235,1,362,208
122,9,310,253,2,312,217
122,9,310,253,6,302,220
123,1,354,203,2,314,209
123,1,354,203,6,308,216
123,2,314,209,1,354,203
123,2,314,209,6,308,216
123,2,314,209,9,315,256
123,6,308,216,1,354,203
123,6,308,216,2,314,209
123,6,308,216,9,315,256
123,9,315,256,2,314,209
123,9,315,256,6,308,216
124,1,345,198,2,315,202
124,1,345,198,6,313,212
124,2,315,202,1,345,198
124,2,315,202,6,313,212
124,6,313,212,1,345,198
124,6,313,212,2,315,202
124,6,313,212,9,321,259
124,9,321,259,6,313,212
125,1,337,193,2,317,194
125,1,337,193,6,318,208
125,2,317,194,1,337,193
125,2,317,194,6,318,208
125,6,318,208,1,337,193
125,6,318,208,2,317,194
126,1,328,188,2,318,191
126,1,328,188,6,323,205
126,2,318,191,1,328,188
126,2,318,191,6,323,205
126,6,323,205,1,328,188
126,6,323,205,2,318,191
127,1,320,183,2,318,191
127,1,320,183,6,328,201
127,2,318,191,1,320,183
127,2,318,191,6,328,201
127,3,114,314,5,162,348
127,5,162,348,3,114,314
127,6,328,201,1,320,183
127,6,328,201,2,318,191
128,1,311,178,2,318,191
128,1,311,178,6,333,197
128,2,318,191,1,311,178
128,2,318,191,6,333,197
128,3,118,311,5,154,351
128,4,182,463,7,136,430
128,5,154,351,3,118,311
128,6,333,197,1,311,178
128,6,333,197,2,318,191
128,7,136,430,4,182,463
129,1,303,173,2,318,191
129,1,303,173,6,338,193
129,2,318,191,1,303,173
129,2,318,191,6,338,193
129,3,122,307,5,147,354
129,4,175,465,7,136,430
129,5,147,354,3,122,307
129,6,338,193,1,303,173
129,6,338,193,2,318,191
129,7,136,430,4,175,465
130,1,294,168,2,318,191
130,2,318,191,1,294,168
130,2,318,191,6,344,189
130,4,168,466,7,136,430
130,6,344,189,2,318,191
130,7,136,430,4,168,466
131,1,286,163,2,318,191
131,2,318,191,1,286,163
131,2,318,191,6,349,185
131,4,160,467,7,136,430
131,6,349,185,2,318,191
131,7,136,430,4,160,467
132,1,277,158,2,316,197
132,2,316,197,1,277,158
132,2,316,197,6,354,181
132,4,156,468,7,136,430
132,6,354,181,2,316,197
132,7,136,430,4,156,468
133,2,315,203,6,359,177
133,4,156,468,7,141,427
133,6,359,177,2,315,203
133,7,141,427,4,156,468
134,4,156,468,7,145,423
134,7,145,423,4,156,468
135,4,156,468,7,149,419
135,5,102,372,7,149,419
135,7,149,419,4,156,468
135,7,149,419,5,102,372
138,8,398,343,9,399,294
138,9,399,294,8,398,343
139,0,169,106,1,218,123
139,1,218,123,0,169,106
139,8,393,339,9,405,297
139,9,405,297,8,393,339
140,0,169,100,1,210,118
140,1,210,118,0,169,100
140,8,389,335,9,410,299
140,9,410,299,8,389,335
141,0,169,100,1,201,113
141,1,201,113,0,169,100
141,8,385,332,9,410,299
141,9,410,299,8,385,332
142,0,169,100,1,193,108
142,1,193,108,0,169,100
142,4,145,440,7,179,394
142,7,179,394,4,145,440
142,8,380,328,9,410,299
142,9,410,299,8,380,328
143,0,169,100,1,184,103
143,1,184,103,0,169,100
143,4,142,430,7,183,391
143,7,183,391,4,142,430
143,8,376,324,9,410,299
143,9,410,299,8,376,324
144,0,169,100,1,183,103
144,1,183,103,0,169,100
144,4,138,421,7,187,387
144,7,187,387,4,138,421
144,8,372,320,9,410,299
144,9,410,299,8,372,320
145,0,169,100,1,188,108
145,1,188,108,0,169,100
145,8,367,317,9,410,299
145,9,410,299,8,367,317
146,0,169,100,1,192,113
146,1,192,113,0,169,100
146,8,363,313,9,402,300
146,9,402,300,8,363,313
147,0,169,100,1,196,118
147,1,196,118,0,169,100
147,8,358,309,9,394,300
147,9,394,300,8,358,309
148,0,169,100,1,201,123
148,1,201,123,0,169,100
148,8,354,305,9,385,300
148,9,385,300,8,354,305
149,0,168,106,1,205,128
149,1,205,128,0,168,106
149,8,350,301,9,377,300
149,9,377,300,8,350,301
150,0,167,111,1,209,134
150,1,209,134,0,167,111
150,8,345,298,9,368,301
150,9,368,301,8,345,298
151,0,166,117,1,213,139
151,1,213,139,0,166,117
151,8,341,294,9,360,301
151,9,360,301,8,341,294
152,8,337,290,9,352,301
152,9,352,301,8,337,290
153,2,284,307,8,332,286
153,8,332,286,2,284,307
153,8,332,286,9,343,302
153,9,343,302,8,332,286
154,2,284,307,8,328,283
154,8,328,283,2,284,307
154,8,328,283,9,335,302
154,9,335,302,8,328,283
155,2,284,307,8,324,279
155,2,284,307,9,326,302
155,8,324,279,2,284,307
155,8,324,279,9,326,302
155,9,326,302,2,284,307
155,9,326,302,8,324,279
156,2,278,300,7,239,344
156,2,278,300,8,319,275
156,2,278,300,9,318,302
156,7,239,344,2,278,300
156,8,319,275,2,278,300
156,8,319,275,9,318,302
156,9,318,302,2,278,300
156,9,318,302,8,319,275
157,1,239,170,3,237,211
157,2,273,292,7,243,340
157,2,273,292,8,315,271
157,2,273,292,9,310,303
157,3,237,211,1,239,170
157,4,93,300,5,44,347
157,5,44,347,4,93,300
157,7,243,340,2,273,292
157,8,315,271,2,273,292
157,8,315,271,9,310,303
157,9,310,303,2,273,292
157,9,310,303,8,315,271
158,1,243,175,3,241,208
158,2,267,284,8,310,267
158,2,267,284,9,301,303
158,3,241,208,1,243,175
158,8,310,267,2,267,284
158,8,310,267,9,301,303
158,9,301,303,2,267,284
158,9,301,303,8,310,267
159,1,247,180,3,245,204
159,2,261,277,8,306,264
159,2,261,277,9,293,303
159,3,245,204,1,247,180
159,7,251,333,9,293,303
159,8,306,264,2,261,277
159,8,306,264,9,293,303
159,9,293,303,2,261,277
